,Date,PETR4
1776,2018-02-26,21.520000457763672
1777,2018-02-27,21.5
1778,2018-02-28,21.459999084472656
1779,2018-03-01,21.030000686645508
1780,2018-03-02,21.510000228881836
1781,2018-03-05,22.1200008392334
1782,2018-03-06,21.899999618530273
1783,2018-03-07,21.670000076293945
1784,2018-03-08,21.700000762939453
1785,2018-03-09,22.389999389648438
1786,2018-03-12,22.329999923706055
1787,2018-03-13,22.110000610351562
1788,2018-03-14,22.3799991607666
1789,2018-03-15,21.309999465942383
1790,2018-03-16,21.43000030517578
1791,2018-03-19,20.93000030517578
1792,2018-03-20,21.15999984741211
1793,2018-03-21,22.049999237060547
1794,2018-03-22,21.719999313354492
1795,2018-03-23,21.75
1796,2018-03-26,22.030000686645508
1797,2018-03-27,21.440000534057617
1798,2018-03-28,21.200000762939453
1799,2018-03-29,21.40999984741211
1800,2018-04-02,20.899999618530273
1801,2018-04-03,20.709999084472656
1802,2018-04-04,20.3799991607666
1803,2018-04-05,21.149999618530273
1804,2018-04-06,21.280000686645508
1805,2018-04-09,20.530000686645508
1806,2018-04-10,21.399999618530273
1807,2018-04-11,21.799999237060547
1808,2018-04-12,21.68000030517578
1809,2018-04-13,21.200000762939453
1810,2018-04-16,20.6200008392334
1811,2018-04-17,21.030000686645508
1812,2018-04-18,21.799999237060547
1813,2018-04-19,22.200000762939453
1814,2018-04-20,22.360000610351562
1815,2018-04-23,22.479999542236328
1816,2018-04-24,22.399999618530273
1817,2018-04-25,21.729999542236328
1818,2018-04-26,22.6299991607666
1819,2018-04-27,22.709999084472656
1820,2018-04-30,22.969999313354492
1821,2018-05-02,22.600000381469727
1822,2018-05-03,22.450000762939453
1823,2018-05-04,22.270000457763672
1824,2018-05-07,22.649999618530273
1825,2018-05-08,22.90999984741211
1826,2018-05-09,24.780000686645508
1827,2018-05-10,25.75
1828,2018-05-11,25.440000534057617
1829,2018-05-14,26.239999771118164
1830,2018-05-15,26.790000915527344
1831,2018-05-16,27.389999389648438
1832,2018-05-17,25.950000762939453
