,Date,USD/BRL
1970,2018-07-23,3.7827
1971,2018-07-24,3.7481
1972,2018-07-25,3.6886
1973,2018-07-26,3.7462
1974,2018-07-27,3.7114
1975,2018-07-30,3.7307
1976,2018-07-31,3.7564
1977,2018-08-01,3.7499
1978,2018-08-02,3.7503
1979,2018-08-03,3.708
1980,2018-08-06,3.7363
1981,2018-08-07,3.7515
1982,2018-08-08,3.7721
1983,2018-08-09,3.8015
1984,2018-08-10,3.8597
1985,2018-08-13,3.884
1986,2018-08-14,3.8673
1987,2018-08-15,3.9055
1988,2018-08-16,3.9071
1989,2018-08-17,3.9116
1990,2018-08-20,3.97
1991,2018-08-21,4.0478
1992,2018-08-22,4.0425
1993,2018-08-23,4.1155
1994,2018-08-24,4.102
1995,2018-08-27,4.0775
1996,2018-08-28,4.1342
1997,2018-08-29,4.1074
1998,2018-08-30,4.1495
1999,2018-08-31,4.0556
2000,2018-09-03,4.159
2001,2018-09-04,4.1602
2002,2018-09-05,4.1466
2003,2018-09-06,4.0589
2004,2018-09-07,4.0596
2005,2018-09-10,4.0867
2006,2018-09-11,4.1535
2007,2018-09-12,4.1579
2008,2018-09-13,4.2077
2009,2018-09-14,4.1742
2010,2018-09-17,4.1324
2011,2018-09-18,4.1604
2012,2018-09-19,4.1315
2013,2018-09-20,4.0771
2014,2018-09-21,4.0516
2015,2018-09-24,4.0928
2016,2018-09-25,4.0756
2017,2018-09-26,4.0322
2018,2018-09-27,4.0123
2019,2018-09-28,4.0491
2020,2018-10-01,4.0181
2021,2018-10-02,3.9414
2022,2018-10-03,3.9015
2023,2018-10-04,3.8745
2024,2018-10-05,3.8413
2025,2018-10-08,3.779
2026,2018-10-09,3.7155
2027,2018-10-10,3.7555
2028,2018-10-11,3.7812
2029,2018-10-12,3.783
2030,2018-10-15,3.7358
2031,2018-10-16,3.7252
2032,2018-10-17,3.6875
2033,2018-10-18,3.7217
2034,2018-10-19,3.7149
2035,2018-10-22,3.686
2036,2018-10-23,3.6943
2037,2018-10-24,3.735
2038,2018-10-25,3.7058
2039,2018-10-26,3.6429
2040,2018-10-29,3.7187
2041,2018-10-30,3.6974
2042,2018-10-31,3.722
2043,2018-11-01,3.7012
2044,2018-11-02,3.6967
2045,2018-11-05,3.7262
2046,2018-11-06,3.7615
2047,2018-11-07,3.7318
2048,2018-11-08,3.7605
2049,2018-11-09,3.7335
2050,2018-11-12,3.7675
2051,2018-11-13,3.8032
2052,2018-11-14,3.7841
2053,2018-11-15,3.7843
2054,2018-11-16,3.7435
2055,2018-11-19,3.757
2056,2018-11-20,3.7572
2057,2018-11-21,3.7976
2058,2018-11-22,3.8045
2059,2018-11-23,3.8282
2060,2018-11-26,3.941
2061,2018-11-27,3.8752
2062,2018-11-28,3.851
2063,2018-11-29,3.8528
2064,2018-11-30,3.8669
2065,2018-12-03,3.8423
2066,2018-12-04,3.8525
2067,2018-12-05,3.8686
2068,2018-12-06,3.8793
2069,2018-12-07,3.9075
2070,2018-12-10,3.9181
2071,2018-12-11,3.904
2072,2018-12-12,3.8555
2073,2018-12-13,3.8911
2074,2018-12-14,3.9171
2075,2018-12-17,3.8995
2076,2018-12-18,3.9124
2077,2018-12-19,3.8977
2078,2018-12-20,3.8422
2079,2018-12-21,3.904
2080,2018-12-24,3.904
2081,2018-12-25,3.904
2082,2018-12-26,3.922
2083,2018-12-27,3.8735
2084,2018-12-28,3.8812
2085,2018-12-31,3.8812
2086,2019-01-01,3.8812
2087,2019-01-02,3.79
2088,2019-01-03,3.7565
2089,2019-01-04,3.7155
2090,2019-01-07,3.7356
2091,2019-01-08,3.7133
2092,2019-01-09,3.6807
2093,2019-01-10,3.7105
2094,2019-01-11,3.7113
2095,2019-01-14,3.699
2096,2019-01-15,3.7172
2097,2019-01-16,3.7366
2098,2019-01-17,3.7504
2099,2019-01-18,3.7517
2100,2019-01-21,3.755
2101,2019-01-22,3.8152
2102,2019-01-23,3.7663
2103,2019-01-24,3.7733
2104,2019-01-25,3.7707
2105,2019-01-28,3.7619
2106,2019-01-29,3.7202
2107,2019-01-30,3.685
2108,2019-01-31,3.644
2109,2019-02-01,3.6597
2110,2019-02-04,3.6687
2111,2019-02-05,3.6699
2112,2019-02-06,3.6983
2113,2019-02-07,3.7167
2114,2019-02-08,3.7292
2115,2019-02-11,3.7577
2116,2019-02-12,3.7098
2117,2019-02-13,3.7544
2118,2019-02-14,3.7233
2119,2019-02-15,3.7008
2120,2019-02-18,3.7353
2121,2019-02-19,3.723
2122,2019-02-20,3.7277
2123,2019-02-21,3.7695
2124,2019-02-22,3.7485
