DATAS,y_REAL,y_ARIMA_1,y_ARIMA_2,y_VAR_1,y_VAR_2,y_LSTM_1,y_LSTM_2
2021-05-20,5.81134,5.643607300474422,5.643944267883263,5.662485626691646,5.65975373061941,5.748213,5.6749763
2021-05-24,5.73999723756906,5.677869078427898,5.680399644716831,5.701582104691225,5.704331692568154,5.7722836,5.705051
2021-05-25,5.602720833333334,5.697879351773393,5.696503356027287,5.723303691442038,5.712102836053105,5.8019123,5.7332535
2021-05-26,5.667967272727273,5.697495873962161,5.698826659249493,5.705004605159368,5.702123221123768,5.820006,5.7356606
2021-05-27,5.432964912280701,5.7083129494432026,5.713355225537772,5.743155336828353,5.720775464546208,5.7547655,5.6757298
2021-05-31,5.62352358490566,5.661512016078721,5.667785017530055,5.67736337856496,5.665785251122856,5.6641674,5.587801
2021-06-01,5.681356209150327,5.624327648305847,5.62229407033847,5.627910491416244,5.613381075615295,5.6477118,5.57481
2021-06-02,5.669946996466432,5.614597691211696,5.617420609033734,5.601665623480957,5.604923070978511,5.6132965,5.5627756
2021-06-04,5.661882352941176,5.599942197555514,5.602578022558344,5.617851147993996,5.598771019527265,5.7118435,5.649965
2021-06-07,5.725794642857143,5.627751776719522,5.621681798825546,5.626994690019163,5.628062067554405,5.728057,5.662623
2021-06-08,5.623362068965517,5.658238784444972,5.659158123173217,5.686268655563762,5.679937691461142,5.730104,5.66957
2021-06-09,5.645147222222222,5.6632411638264335,5.66100228802958,5.692779473182606,5.679970364565306,5.7266436,5.6639137
2021-06-10,5.73965625,5.664410865026391,5.659990391728572,5.67135234184864,5.671584373234174,5.7247257,5.6583805
2021-06-14,5.737858638743456,5.677204899575448,5.679425770556541,5.693267769218807,5.68591098948078,5.7055,5.649143
2021-06-15,5.558141935483872,5.678968074862338,5.681568724008946,5.693747936623528,5.6884656396193005,5.749712,5.690181
2021-06-16,5.609583333333333,5.670887630484284,5.669252626770154,5.67525448024444,5.672654283498197,5.7557445,5.683025
2021-06-17,5.809493333333333,5.6710370943637125,5.673622678826173,5.682269052431199,5.675308751360276,5.7022853,5.632056
2021-06-21,5.74094358974359,5.680193826820161,5.683059067464936,5.704814571870556,5.690834269498136,5.677014,5.6272697
